forces,force_addedmass,force_inertia,time,displacement,velocity,acceleration
-95.91488966698367,-1.800115196131429,-94.11477447085223,-4902.183433467047,13.527734374999985,-988.6191575601133,-0.8320018004292292,-0.0035187238782129616
-91.95228462779693,1.8796151931457799,-93.83189982094272,-4904.479924376352,13.528515624999985,-988.7023752801003,-0.8323525993111608,-0.003507988819315708
-92.29267804431187,1.3389077168273,-93.63158576113904,-4906.769797951211,13.529296874999984,-988.7856280417392,-0.8327026334646711,-0.0035003415351029027
-37.12350053071111,49.02199654211297,-86.14549707282407,-4909.054870299786,13.530078124999983,-988.8689144067595,-0.8330246669400939,-0.003220334754228006
-106.10721132795102,-17.3123479456484,-88.79486338230268,-4911.174565383773,13.530859374999983,-988.9522334695795,-0.833356589460645,-0.003319225205510572
-114.06405756619863,-21.915936644626598,-92.14812092157193,-4913.3522500599565,13.531640624999982,-989.0355863506153,-0.8337010312545547,-0.003444417939097985
-89.75624544184473,2.0783566994164246,-91.83460214126119,-4915.603437076322,13.532421874999981,-989.1189736164655,-0.8340442857504603,-0.0034325449590559536
-89.21860034774012,2.2727214886077776,-91.4913218363479,-4917.847313864717,13.53320312499998,-989.2023951428457,-0.8343862418529535,-0.0034195610249324725
-90.94668916218741,0.4759588085901115,-91.42264797077752,-4920.08322116105,13.53398437499998,-989.2858508512398,-0.8347279260300603,-0.003416841771068131
-88.3200983589819,2.694662647741241,-91.01476100672313,-4922.317207721477,13.534765624999979,-989.3693406510722,-0.8350680706176108,-0.0034014458755048187
-89.14423630017657,1.6259688537595476,-90.77020515393602,-4924.541794506787,13.535546874999978,-989.4528644189115,-0.8354072861685843,-0.003392155509735043
-86.04904074566161,4.098498755093594,-90.14753950075524,-4926.760577838912,13.536328124999978,-989.5364219912118,-0.8357441598359677,-0.0033687366738344034
-90.20284047045362,-0.04450833486904952,-90.15833213558449,-4928.965221304777,13.537109374999977,-989.6200132521504,-0.8360810589365869,-0.00336899100619201
-86.80171213155735,2.914821084456416,-89.71653321601374,-4931.169682287215,13.537890624999976,-989.703638119715,-0.8364162923562664,-0.0033523341967945804
-82.4685050091075,6.289942685745515,-88.75844769485307,-4933.36398315394,13.538671874999975,-989.7872963308935,-0.8367479312128161,-0.0033163885654977953
-78.53890794113263,8.867110064021118,-87.40601800515368,-4935.536742073118,13.539453124999975,-989.8709874525784,-0.8370745024859075,-0.0032657127309142038
-86.2984705595297,0.963919979342629,-87.26239053887237,-4937.679264252238,13.540234374999974,-989.9547112038452,-0.8374005228510402,-0.003260203651325982
-95.59859217191772,-7.226776067198551,-88.3718161047191,-4939.818186571993,13.541015624999973,-990.0384677636732,-0.8377306737081864,-0.003301508571462412
-95.15758557434944,-5.88196660795967,-89.27561896638969,-4941.981122343329,13.541796874999973,-990.1222575066873,-0.83806418657331,-0.0033351286512356523
-79.43098037999883,8.541536121448974,-87.9725165014478,-4944.163538082178,13.542578124999972,-990.2060803568693,-0.8383928170645489,-0.0032863049123888093
-79.02091611761239,7.766865233930696,-86.78778135154319,-4946.316793511908,13.543359374999971,-990.2899358481122,-0.8387170077951066,-0.003241907305576236
-87.0685995652328,-0.2402896349988848,-86.82830993023397,-4948.443493349808,13.54414062499997,-990.3738237652964,-0.8390413358879282,-0.003243280928215439
-78.5223565770251,7.206683768378308,-85.72904034540332,-4950.57063752319,13.54492187499997,-990.457743909295,-0.8393615440838182,-0.003202081958900453
-84.41752253718441,1.1406160920300408,-85.55813862921437,-4952.673103155931,13.545703124999969,-990.5416960415085,-0.8396811001879121,-0.003195561040937967
-92.24835969228485,-5.798855495676221,-86.44950419660871,-4954.771346959361,13.546484374999968,-990.6256802951002,-0.8400039716448653,-0.003228714569531477
-82.71038432107406,3.2458956818931615,-85.95628000296712,-4956.888777567537,13.547265624999968,-990.7096967430456,-0.8403249872635222,-0.003210156186568837
-81.32497194867838,4.019558604135328,-85.34453055281361,-4958.994877959948,13.548046874999967,-990.7937451776392,-0.8406437046075884,-0.003187173440662309
-85.93092011635838,-0.505372018090084,-85.42554809826834,-4961.08703282119,13.548828124999966,-990.8778254984156,-0.8409627109215448,-0.003190063139563959
-83.43757511365064,1.7271241690519583,-85.16469928270256,-4963.180506933563,13.549609374999966,-990.9619376704433,-0.8412807296318489,-0.0031801871030404305
-75.81832349164533,8.108248763738349,-83.92657225538363,-4965.267763301575,13.550390624999965,-991.0460814125097,-0.8415941116977548,-0.003133820659059081
-84.35419239138923,-0.3677498751235375,-83.98644251626577,-4967.327260692209,13.551171874999964,-991.1302565032979,-0.8419077040672732,-0.003135923695184667
-84.40513493923513,-0.3600100271659804,-84.04512491206911,-4969.387602107148,13.551953124999963,-991.2144629636174,-0.8422215023224737,-0.003137982552005048
-89.75549574616119,-4.948773021879538,-84.80672272428163,-4971.448758839489,13.552734374999963,-991.2987009452754,-0.8425381308375085,-0.0031662851503476063
-83.39232634866748,1.229585136919269,-84.62191148558664,-4973.526220022198,13.553515624999962,-991.3829705546228,-0.842854056111065,-0.0031592527355646344
-82.98080393781092,1.426148670181958,-84.40695260799288,-4975.599125757291,13.554296874999961,-991.4672717157129,-0.8431691656899016,-0.003151095788365894
-72.56419659682912,10.272349242411645,-82.83654583924077,-4977.666808894806,13.55507812499996,-991.5516040939826,-0.8434783997058554,-0.003092340159537065
-78.73435032027348,3.5601159722617632,-82.29446629253528,-4979.699393804285,13.55585937499996,-991.6359672938346,-0.8437855973335844,-0.0030719762772900895
-27.78021178205723,47.27330957614325,-75.05352135820036,-4981.719539961098,13.55664062499996,-991.7203598613797,-0.8440657535692055,-0.0028015623562119008
-89.90495509381455,-12.87513561151557,-77.02981948229895,-4983.579607230566,13.557421874999958,-991.8047808128057,-0.8443532749503575,-0.002875213811519234
-110.81359559037969,-29.291188083521288,-81.5224075068584,-4985.482726513072,13.558203124999958,-991.889231354194,-0.8446575528144394,-0.003042778640819473
-93.25970937974569,-10.17441263304312,-83.08529674670258,-4987.484353946811,13.558984374999957,-991.973712614401,-0.8449676513282554,-0.0031009851381595217
-76.8253181710879,5.430872969650603,-82.25619114073858,-4989.519923136871,13.559765624999956,-992.0582247291072,-0.8452746427946675,-0.003069914664121276
-76.58190132474724,4.922943599401799,-81.50484492414903,-4991.536715565175,13.560546874999956,-992.142767402132,-0.8455788177005507,-0.0030417490588315957
-72.0239943136597,8.22339351403139,-80.24738782769107,-4993.536441769335,13.561328124999955,-992.2273402573965,-0.8458782875896834,-0.002994698891327444
-81.54777162853568,-1.1246782259423445,-80.42309340259332,-4995.507944389231,13.562109374999954,-992.3119430918254,-0.8461784009870955,-0.003001133974120894
-83.2377826012165,-2.437643252136674,-80.80013934907977,-4997.48280548582,13.562890624999953,-992.3965760073339,-0.8464799091835116,-0.003015081964160881
-82.85193725244915,-1.7761575698676628,-81.07577968258143,-4999.465460142158,13.563671874999953,-992.481239124479,-0.8467824337186708,-0.0030252453515926276
-77.99588863705634,2.6731886545632886,-80.6690772916195,-5001.453671374721,13.564453124999952,-992.5659324175933,-0.847083428568902,-0.0030099485023117366
-77.6481543944055,2.6220126566440554,-80.27016705104961,-5003.432398784602,13.565234374999951,-992.6506557351701,-0.8473829229660168,-0.002994943971148921
-80.65820489259623,-0.3336471415274221,-80.32455775106881,-5005.401811329692,13.56601562499995,-992.7354090117334,-0.8476826083001789,-0.0029968533416213825
-73.15860799024372,6.215686041233054,-79.37429403147671,-5007.371896594388,13.56679687499995,-992.8201920789706,-0.8479787364457471,-0.002961281455681271
-72.89413072619777,5.621009897103414,-78.51514062330126,-5009.320510556898,13.56757812499995,-992.905004598174,-0.8482716476208095,-0.002929111750624828
-100.3045304846008,-18.88841285406872,-81.41611763053216,-5011.249657985695,13.568359374999948,-992.9898469490163,-0.8485753692262559,-0.0030372160544632886
-79.08751274428288,2.021641930413234,-81.10915467469617,-5013.242205587461,13.569140624999948,-993.0747196141648,-0.8488779337436121,-0.0030256451735626516
-65.04810073098378,13.927223748995955,-78.97532447997976,-5015.227453440119,13.569921874999947,-993.1596221371889,-0.8491725267382194,-0.0029459299460727266
-70.98349613348202,6.931299470772845,-77.91479560425488,-5017.165136422071,13.570703124999946,-993.2445539211425,-0.8494631523342648,-0.002906255960454356
-73.63074676954112,3.7167169770651114,-77.34746374660631,-5019.078904894528,13.571484374999946,-993.3295146612818,-0.8497516504528255,-0.0028849811856064495
-75.57988391706573,1.535013780013418,-77.11489769707916,-5020.979625194292,13.572265624999945,-993.4145042072989,-0.8500392698889322,-0.0028761943610668217
-75.96116435802776,1.002816974754267,-76.96398133278205,-5022.87467241417,13.573046874999944,-993.4995224865568,-0.8503263152674947,-0.0028704537856247656
-73.5937772037748,2.9243159653604116,-76.5180931691352,-5024.765843496295,13.573828124999944,-993.5845693866493,-0.8506116865822549,-0.0028537131476020273
-76.37665866204199,0.1251789158074419,-76.50183757784941,-5026.646635072657,13.574609374999943,-993.66964482029,-0.850896986234386,-0.0028529965213110096
